year,geo,emissions_mio_t
1990,ES,212.25639
1990,EU27_2020,3740.05231
1991,ES,222.84423
1991,EU27_2020,3690.97282
1992,ES,233.17088
1992,EU27_2020,3571.46526
1993,ES,224.76577
1993,EU27_2020,3513.2018
1994,ES,235.05413
1994,EU27_2020,3474.34257
1995,ES,248.97687
1995,EU27_2020,3514.71143
1996,ES,236.59396
1996,EU27_2020,3606.50446
1997,ES,247.94731
1997,EU27_2020,3535.78395
1998,ES,254.88668
1998,EU27_2020,3519.67859
1999,ES,277.43382
1999,EU27_2020,3469.02522
2000,ES,288.58976
2000,EU27_2020,3447.43347
2001,ES,289.94735
2001,EU27_2020,3512.83616
2002,ES,309.20205
2002,EU27_2020,3508.90654
2003,ES,313.10123
2003,EU27_2020,3582.07608
2004,ES,329.15158
2004,EU27_2020,3571.17048
2005,ES,343.48466
2005,EU27_2020,3564.54912
2006,ES,334.14083
2006,EU27_2020,3570.53792
2007,ES,341.93307
2007,EU27_2020,3510.03947
2008,ES,314.55125
2008,EU27_2020,3454.63296
2009,ES,280.05636
2009,EU27_2020,3217.75787
2010,ES,265.27896
2010,EU27_2020,3290.03041
2011,ES,267.74545
2011,EU27_2020,3187.40775
2012,ES,263.6127
2012,EU27_2020,3135.55284
2013,ES,239.17921
2013,EU27_2020,3052.36619
2014,ES,238.17839
2014,EU27_2020,2902.64325
2015,ES,253.54884
2015,EU27_2020,2962.36897
2016,ES,242.90213
2016,EU27_2020,2956.25254
2017,ES,257.64613
2017,EU27_2020,2971.53901
2018,ES,252.3422
2018,EU27_2020,2901.96738
2019,ES,235.8569
2019,EU27_2020,2758.22547
2020,ES,198.11868
2020,EU27_2020,2489.89534
2021,ES,214.49274
2021,EU27_2020,2651.18063
2022,ES,221.5782
2022,EU27_2020,2603.73376
2023,ES,203.47599
2023,EU27_2020,2363.95481
