year,series,emissions_mio_t
1990,ES,212.256390
1990,EU27_AVG_PER_COUNTRY,138.520456
1991,ES,222.844230
1991,EU27_AVG_PER_COUNTRY,136.702697
1992,ES,233.170880
1992,EU27_AVG_PER_COUNTRY,132.276491
1993,ES,224.765770
1993,EU27_AVG_PER_COUNTRY,130.118585
1994,ES,235.054130
1994,EU27_AVG_PER_COUNTRY,128.679354
1995,ES,248.976870
1995,EU27_AVG_PER_COUNTRY,130.174497
1996,ES,236.593960
1996,EU27_AVG_PER_COUNTRY,133.574239
1997,ES,247.947310
1997,EU27_AVG_PER_COUNTRY,130.954961
1998,ES,254.886680
1998,EU27_AVG_PER_COUNTRY,130.358466
1999,ES,277.433820
1999,EU27_AVG_PER_COUNTRY,128.482416
2000,ES,288.589760
2000,EU27_AVG_PER_COUNTRY,127.682721
2001,ES,289.947350
2001,EU27_AVG_PER_COUNTRY,130.105043
2002,ES,309.202050
2002,EU27_AVG_PER_COUNTRY,129.959501
2003,ES,313.101230
2003,EU27_AVG_PER_COUNTRY,132.669484
2004,ES,329.151580
2004,EU27_AVG_PER_COUNTRY,132.265573
2005,ES,343.484660
2005,EU27_AVG_PER_COUNTRY,132.020338
2006,ES,334.140830
2006,EU27_AVG_PER_COUNTRY,132.242145
2007,ES,341.933070
2007,EU27_AVG_PER_COUNTRY,130.001462
2008,ES,314.551250
2008,EU27_AVG_PER_COUNTRY,127.949369
2009,ES,280.056360
2009,EU27_AVG_PER_COUNTRY,119.176217
2010,ES,265.278960
2010,EU27_AVG_PER_COUNTRY,121.852978
2011,ES,267.745450
2011,EU27_AVG_PER_COUNTRY,118.052139
2012,ES,263.612700
2012,EU27_AVG_PER_COUNTRY,116.131587
2013,ES,239.179210
2013,EU27_AVG_PER_COUNTRY,113.050600
2014,ES,238.178390
2014,EU27_AVG_PER_COUNTRY,107.505306
2015,ES,253.548840
2015,EU27_AVG_PER_COUNTRY,109.717369
2016,ES,242.902130
2016,EU27_AVG_PER_COUNTRY,109.490835
2017,ES,257.646130
2017,EU27_AVG_PER_COUNTRY,110.057000
2018,ES,252.342200
2018,EU27_AVG_PER_COUNTRY,107.480273
2019,ES,235.856900
2019,EU27_AVG_PER_COUNTRY,102.156499
2020,ES,198.118680
2020,EU27_AVG_PER_COUNTRY,92.218346
2021,ES,214.492740
2021,EU27_AVG_PER_COUNTRY,98.191875
2022,ES,221.578200
2022,EU27_AVG_PER_COUNTRY,96.434584
2023,ES,203.475990
2023,EU27_AVG_PER_COUNTRY,87.553882
